technique,fraction,repeat,selection_seed,size,coverage_mean,coverage_max,stability_jaccard,classes,implementation,selection_seconds_total,selection_seconds_per_repeat,selection_cpu_seconds_total,rss_before_mb,rss_peak_mb,knn_backend,opf_scope,measurement_isolation
random,0.05,1,42,44,0.2356,0.7474,0.028,"{'regulatory': 48, 'traffic_light': 17}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,2,43,44,0.2445,0.8619,0.028,"{'regulatory': 60, 'traffic_light': 14}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,3,44,44,0.2456,0.9063,0.028,"{'regulatory': 53, 'traffic_light': 19}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,4,45,44,0.2438,0.9167,0.028,"{'traffic_light': 20, 'regulatory': 55}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,5,46,44,0.2395,0.7442,0.028,"{'traffic_light': 21, 'regulatory': 61}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,6,47,44,0.2454,0.7731,0.028,"{'traffic_light': 18, 'regulatory': 52}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,7,48,44,0.2416,0.8619,0.028,"{'regulatory': 46, 'traffic_light': 22}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,8,49,44,0.242,0.8619,0.028,"{'regulatory': 50, 'traffic_light': 18}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,1,42,44,0.2024,0.7054,0.252,"{'traffic_light': 18, 'regulatory': 48}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,2,43,44,0.2029,0.6951,0.252,"{'traffic_light': 21, 'regulatory': 47}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,3,44,44,0.2014,0.6868,0.252,"{'traffic_light': 22, 'regulatory': 50}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,4,45,44,0.2041,0.6951,0.252,"{'regulatory': 51, 'traffic_light': 18}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,5,46,44,0.2004,0.7054,0.252,"{'traffic_light': 21, 'regulatory': 52}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,6,47,44,0.2029,0.7482,0.252,"{'traffic_light': 26, 'regulatory': 46}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,7,48,44,0.2011,0.7482,0.252,"{'regulatory': 53, 'traffic_light': 24}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,8,49,44,0.1999,0.7316,0.252,"{'traffic_light': 21, 'regulatory': 56}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
opf_dinov2,0.05,1,42,44,0.247,0.905,1.0,"{'regulatory': 59, 'traffic_light': 21}",OPF root + quota on the full pool,5.653869125060737,5.653869125060737,4.984792999999999,171.453125,257.703125,not_applicable,full_pool,dedicated_process
typiclust_dinov2,0.05,1,42,44,0.2024,0.7482,0.245,"{'traffic_light': 22, 'regulatory': 46}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,2,43,44,0.2028,0.6868,0.245,"{'regulatory': 55, 'traffic_light': 21}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,3,44,44,0.2023,0.6868,0.245,"{'traffic_light': 22, 'regulatory': 50}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,4,45,44,0.2021,0.6532,0.245,"{'traffic_light': 21, 'regulatory': 47}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,5,46,44,0.2006,0.7054,0.245,"{'traffic_light': 21, 'regulatory': 51}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,6,47,44,0.2039,0.7054,0.245,"{'traffic_light': 28, 'regulatory': 50}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,7,48,44,0.2031,0.7482,0.245,"{'traffic_light': 23, 'regulatory': 49}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,8,49,44,0.1998,0.7316,0.245,"{'traffic_light': 21, 'regulatory': 55}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
probcover_dinov2,0.05,1,42,44,0.2081,0.7482,0.435,"{'regulatory': 51, 'traffic_light': 17}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,2,43,44,0.2098,0.7482,0.435,"{'regulatory': 53, 'traffic_light': 18}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,3,44,44,0.2068,0.7482,0.435,"{'regulatory': 46, 'traffic_light': 22}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,4,45,44,0.2076,0.7482,0.435,"{'regulatory': 49, 'traffic_light': 20}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,5,46,44,0.2067,0.7482,0.435,"{'regulatory': 49, 'traffic_light': 19}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,6,47,44,0.2078,0.7482,0.435,"{'regulatory': 48, 'traffic_light': 21}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,7,48,44,0.2089,0.7482,0.435,"{'regulatory': 51, 'traffic_light': 20}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.05,8,49,44,0.2087,0.7482,0.435,"{'regulatory': 51, 'traffic_light': 19}",ProbCover; unlabeled delta at purity >= 0.95,81.23425924999174,10.154282406248967,324.988733,164.390625,178.0,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,1,42,44,0.2553,0.6913,0.288,"{'regulatory': 47, 'traffic_light': 16}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,2,43,44,0.2563,0.6593,0.288,"{'regulatory': 45, 'traffic_light': 12}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,3,44,44,0.2574,0.6913,0.288,"{'regulatory': 45, 'traffic_light': 14}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,4,45,44,0.2523,0.6593,0.288,"{'regulatory': 45, 'traffic_light': 15}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,5,46,44,0.2624,0.7088,0.288,"{'regulatory': 38, 'traffic_light': 20}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,6,47,44,0.2531,0.6593,0.288,"{'regulatory': 47, 'traffic_light': 12}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,7,48,44,0.2574,0.6593,0.288,"{'traffic_light': 16, 'regulatory': 42}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.05,8,49,44,0.2475,0.6378,0.288,"{'regulatory': 47, 'traffic_light': 15}",FreeSel; FDS on local DINO patterns,9.391544166952372,1.1739430208690464,38.522136,171.59375,181.984375,not_applicable,not_applicable,dedicated_process
random,0.1,1,42,89,0.1978,0.7173,0.058,"{'regulatory': 99, 'traffic_light': 39}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,2,43,89,0.1968,0.6868,0.058,"{'regulatory': 117, 'traffic_light': 32}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,3,44,89,0.2039,0.9063,0.058,"{'regulatory': 101, 'traffic_light': 43}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,4,45,89,0.1989,0.7088,0.058,"{'regulatory': 110, 'traffic_light': 37}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,5,46,89,0.1992,0.6426,0.058,"{'regulatory': 111, 'traffic_light': 39}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,6,47,89,0.2038,0.7731,0.058,"{'regulatory': 112, 'traffic_light': 38}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,7,48,89,0.2037,0.8619,0.058,"{'traffic_light': 41, 'regulatory': 91}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
random,0.1,8,49,89,0.2009,0.6951,0.058,"{'regulatory': 102, 'traffic_light': 28}",random sampling control,0.0016170829767361283,0.00020213537209201604,0.0015650000000002606,171.109375,171.25,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,1,42,89,0.1652,0.6868,0.279,"{'traffic_light': 41, 'regulatory': 100}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,2,43,89,0.1657,0.554,0.279,"{'traffic_light': 40, 'regulatory': 97}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,3,44,89,0.1662,0.5766,0.279,"{'traffic_light': 45, 'regulatory': 107}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,4,45,89,0.1658,0.6868,0.279,"{'traffic_light': 49, 'regulatory': 99}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,5,46,89,0.1652,0.6913,0.279,"{'traffic_light': 44, 'regulatory': 91}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,6,47,89,0.1675,0.5621,0.279,"{'regulatory': 105, 'traffic_light': 39}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,7,48,89,0.1675,0.6868,0.279,"{'traffic_light': 38, 'regulatory': 97}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.1,8,49,89,0.1662,0.5295,0.279,"{'traffic_light': 38, 'regulatory': 108}",k-means + sample nearest to centroid on DINOv2 embeddings,347.80034125002567,43.47504265625321,1475.3101190000002,172.140625,180.921875,not_applicable,not_applicable,dedicated_process
opf_dinov2,0.1,1,42,89,0.2181,0.7948,1.0,"{'traffic_light': 47, 'regulatory': 120}",OPF root + quota on the full pool,5.296503541059792,5.296503541059792,4.994298,170.765625,257.984375,not_applicable,full_pool,dedicated_process
typiclust_dinov2,0.1,1,42,89,0.1654,0.6951,0.263,"{'traffic_light': 40, 'regulatory': 102}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,2,43,89,0.1659,0.5418,0.263,"{'regulatory': 99, 'traffic_light': 42}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,3,44,89,0.1663,0.5766,0.263,"{'traffic_light': 45, 'regulatory': 105}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,4,45,89,0.1658,0.6868,0.263,"{'traffic_light': 49, 'regulatory': 99}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,5,46,89,0.1657,0.6272,0.263,"{'traffic_light': 47, 'regulatory': 103}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,6,47,89,0.166,0.5418,0.263,"{'regulatory': 103, 'traffic_light': 41}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,7,48,89,0.1673,0.6868,0.263,"{'traffic_light': 39, 'regulatory': 95}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.1,8,49,89,0.166,0.6868,0.263,"{'traffic_light': 42, 'regulatory': 99}",TypiClust,149.81222995801363,18.726528744751704,687.6608370000001,171.171875,180.640625,sklearn_cosine_knn,not_applicable,dedicated_process
probcover_dinov2,0.1,1,42,89,0.177,0.7087,0.378,"{'traffic_light': 46, 'regulatory': 103}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,2,43,89,0.1748,0.7087,0.378,"{'traffic_light': 43, 'regulatory': 108}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,3,44,89,0.1743,0.7087,0.378,"{'regulatory': 98, 'traffic_light': 42}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,4,45,89,0.1748,0.7054,0.378,"{'traffic_light': 38, 'regulatory': 105}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,5,46,89,0.174,0.7054,0.378,"{'regulatory': 103, 'traffic_light': 47}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,6,47,89,0.1758,0.7406,0.378,"{'traffic_light': 37, 'regulatory': 104}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,7,48,89,0.1762,0.7087,0.378,"{'traffic_light': 46, 'regulatory': 106}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.1,8,49,89,0.1746,0.7087,0.378,"{'traffic_light': 43, 'regulatory': 101}",ProbCover; unlabeled delta at purity >= 0.95,136.86535966699012,17.108169958373765,612.2035500000001,170.671875,191.59375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,1,42,89,0.2059,0.5533,0.428,"{'regulatory': 96, 'traffic_light': 30}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,2,43,89,0.2136,0.496,0.428,"{'regulatory': 93, 'traffic_light': 28}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,3,44,89,0.2122,0.6314,0.428,"{'regulatory': 98, 'traffic_light': 30}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,4,45,89,0.2091,0.5751,0.428,"{'regulatory': 95, 'traffic_light': 28}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,5,46,89,0.2169,0.5295,0.428,"{'regulatory': 91, 'traffic_light': 30}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,6,47,89,0.2154,0.6583,0.428,"{'regulatory': 101, 'traffic_light': 25}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.1,7,48,89,0.2077,0.6583,0.428,"{'regulatory': 96, 'traffic_light': 31}",FreeSel; FDS on local DINO patterns,14.091330166906118,1.7614162708632648,62.713294000000005,170.984375,181.390625,not_applicable,not_applicable,dedicated_process
